anio;mes;hec_cub;;;;;;;;;;;
;julio;16,244;;;;;;;;;;;
;agosto;12,909;;;;;;;;;;;
;septiembre;12,297;;;;;;;;;;;
;octubre;10,037;;;;;;;;;;;
;noviembre;9,67;;;;;;;;;;;
;diciembre;9,598;;;;;;;;;;;
2010;enero;9,822;;;;;;;;;;;
;febrero;11,509;;;;;;;;;;;
;marzo;15,703;;;;;;;;;;;
;abril;17,488;;;;;;;;;;;
;mayo;18,195;;;;;;;;;;;
;junio;15,819;;;;;;;;;;;
;julio;15,092;;;;;;;;;;;
;agosto;11,311;;;;;;;;;;;
;septiembre;7,512;;;;;;;;;;;
;octubre;6,342;;;;;;;;;;;
;noviembre;6,128;;;;;;;;;;;
;diciembre;8,012;;;;;;;;;;;
2011;enero;11,013;;;;;;;;;;;
;febrero;12,628;;;;;;;;;;;
;marzo;19,776;;;;;;;;;;;
;abril;23,7;;;;;;;;;;;
;mayo;23,583;;;;;;;;;;;
;junio;21,647;;;;;;;;;;;
;julio;19,433;;;;;;;;;;;
;agosto;17,319;;;;;;;;;;;
;septiembre;15,321;;;;;;;;;;;
;octubre;13,36;;;;;;;;;;;
;noviembre;13,499;;;;;;;;;;;
;diciembre;13,693;;;;;;;;;;;
2012;enero;13,417;;;;;;;;;;;
;febrero;12,941;;;;;;;;;;;
;marzo;12,043;;;;;;;;;;;
;abril;11,801;;;;;;;;;;;
;mayo;12,066;;;;;;;;;;;
;junio;11,435;;;;;;;;;;;
;julio;9,996;;;;;;;;;;;
;agosto;7,392;;;;;;;;;;;
;septiembre;6,357;;;;;;;;;;;
;octubre;6,081;;;;;;;;;;;
;noviembre;7,915;;;;;;;;;;;
;diciembre;8,578;;;;;;;;;;;
2013;enero;11,049;;;;;;;;;;;
;febrero;14,224;;;;;;;;;;;
;marzo;23,34;;;;;;;;;;;
;abril;23,615;;;;;;;;;;;
;mayo;23,16;;;;;;;;;;;
;junio;21,667;;;;;;;;;;;
;julio;18,797;;;;;;;;;;;
;agosto;16,217;;;;;;;;;;;
;septiembre;14,659;;;;;;;;;;;
;octubre;13,838;;;;;;;;;;;
;noviembre;12,514;;;;;;;;;;;
;diciembre;11,259;;;;;;;;;;;
2014;enero;13,921;;;;;;;;;;;
;febrero;18,592;;;;;;;;;;;
;marzo;21,667;;;;;;;;;;;
;abril;23,562;;;;;;;;;;;
;mayo;22,061;;;;;;;;;;;
;junio;19,976;;;;;;;;;;;
;julio;17,253;;;;;;;;;;;
;agosto;14,41;;;;;;;;;;;
;septiembre;12,64;;;;;;;;;;;
;octubre;11,921;;;;;;;;;;;
;noviembre;15,64;;;;;;;;;;;
;diciembre;19,447;;;;;;;;;;;
2015;enero;20,744;;;;;;;;;;;
;febrero;23,319;;;;;;;;;;;
;marzo;22,687;;;;;;;;;;;
;abril;22,593;;;;;;;;;;;
;mayo;21,709;;;;;;;;;;;
;junio;19,229;;;;;;;;;;;
;julio;16,263;;;;;;;;;;;
;agosto;13,507;;;;;;;;;;;
;septiembre;13,077;;;;;;;;;;;
;octubre;12,869;;;;;;;;;;;
;noviembre;12,941;;;;;;;;;;;
;diciembre;11,274;;;;;;;;;;;
2016;enero;12,112;;;;;;;;;;;
;febrero;13,838;;;;;;;;;;;
;marzo;17,187;;;;;;;;;;;
;abril;21,698;;;;;;;;;;;
;mayo;23,657;;;;;;;;;;;
;junio;23,076;;;;;;;;;;;
;julio;21,224;;;;;;;;;;;
;agosto;18,904;;;;;;;;;;;
;septiembre;15,846;;;;;;;;;;;
;octubre;15,33;;;;;;;;;;;
;noviembre;15,189;;;;;;;;;;;
;diciembre;18,826;;;;;;;;;;;
2017;enero;19,368;;;;;;;;;;;
;febrero;23,255;;;;;;;;;;;
;marzo;21,492;;;;;;;;;;;
;abril;21,009;;;;;;;;;;;
;mayo;19,487;;;;;;;;;;;
;junio;16,907;;;;;;;;;;;
;julio;14,849;;;;;;;;;;;
;agosto;12,074;;;;;;;;;;;
;septiembre;10,227;;;;;;;;;;;
;octubre;8,59;;;;;;;;;;;
;noviembre;7,026;;;;;;;;;;;
;diciembre;5,773;;;;;;;;;;;
2018;enero;5,548;;;;;;;;;;;
;febrero;6,518;;;;;;;;;;;
;marzo;15,631;;;;;;;;;;;
;abril;19,467;;;;;;;;;;;
;mayo;20,379;;;;;;;;;;;
;junio;21,461;;;;;;;;;;;
;julio;19,526;;;;;;;;;;;
;agosto;16,126;;;;;;;;;;;
;septiembre;13,623;;;;;;;;;;;
;octubre;11,748;;;;;;;;;;;
;noviembre;12,869;;;;;;;;;;;
;diciembre;13,672;;;;;;;;;;;
2019;enero;13,222;;;;;;;;;;;
;febrero;13,109;;;;;;;;;;;
;marzo;12,166;;;;;;;;;;;
;abril;10,77;;;;;;;;;;;
;mayo;9,716;;;;;;;;;;;
;junio;8,458;;;;;;;;;;;
;julio;6,607;;;;;;;;;;;
;agosto;5,182;;;;;;;;;;;
;septiembre;4,124;;;;;;;;;;;
;octubre;3,193;;;;;;;;;;;
;noviembre;3,592;;;;;;;;;;;
;diciembre;7,628;;;;;;;;;;;
2020;enero;9,154;;;;;;;;;;;
;febrero;10,406;;;;;;;;;;;
;marzo;11,34;;;;;;;;;;;
